"order_id","seller_id","customer_id","shop_id","order_date"
"0004df0d-3df6-42be-9d68-b646a42a44bb","c7402157-ae44-45cc-b6a7-b348d5dbd417",158184,2,"2022-12-22"
"000a978e-f134-47b3-ab9e-4f56084be38e","3ca4793d-065e-4112-b023-d1122a2a4b44",112887,2,"2022-06-02"
"000c1615-0980-4933-9ad1-6f34bb5e188e","c7402157-ae44-45cc-b6a7-b348d5dbd417",141451,2,"2022-10-18"
"000d8c91-e6a8-4404-bf8b-4951ed8ca1f2","2ea0ca2a-77fc-4447-b57c-62a6cb4d75a1",37516,1,"2022-01-06"
"0015acc2-484c-491a-b455-0963835a31dd","ed1a5b13-3dc5-4212-b989-f59258b4410e",141833,2,"2022-10-14"
"00161271-fc13-4fc8-a57a-2c1e3873cad0","3ca4793d-065e-4112-b023-d1122a2a4b44",127281,2,"2022-12-13"
"00188b33-4da5-45e4-9b50-422861fdd434","ed1a5b13-3dc5-4212-b989-f59258b4410e",154730,2,"2022-12-22"
"001fa7f3-47af-40ab-94dd-c4e9da29ce00","098431c3-1301-456e-9171-0026d20a3d62",49704,1,"2022-08-01"
"00216286-566c-4bb9-888d-ebc152426295","098431c3-1301-456e-9171-0026d20a3d62",22487,1,"2022-01-01"
"002562ec-25ac-4206-91d8-e9c27e376d1c","c7402157-ae44-45cc-b6a7-b348d5dbd417",149855,2,"2022-11-23"
"002fe121-a57f-4e28-baf0-cbbb1ff1f57f","2ea0ca2a-77fc-4447-b57c-62a6cb4d75a1",36180,1,"2022-10-12"
"003449ef-dcd2-4063-9e08-f0a95b066cae","ed1a5b13-3dc5-4212-b989-f59258b4410e",149040,2,"2022-11-08"
"003791c6-a062-45f0-84b2-0aa2a09f4516","2ea0ca2a-77fc-4447-b57c-62a6cb4d75a1",74453,1,"2022-10-17"
"003ae551-8a98-45d1-99ef-acac93e8878d","3ca4793d-065e-4112-b023-d1122a2a4b44",138528,2,"2022-09-23"
"003dd588-40c4-4cd9-ab56-de29e54f3ae8","3ca4793d-065e-4112-b023-d1122a2a4b44",131756,2,"2022-09-20"
"003f9698-453d-4e8e-b1af-72742918a823","098431c3-1301-456e-9171-0026d20a3d62",41400,1,"2022-03-04"
"004070d6-a2e7-4d2d-ba68-afa24b29e861","098431c3-1301-456e-9171-0026d20a3d62",18111,1,"2022-02-03"
"0041081e-4289-40a7-a863-a801347394f1","3ca4793d-065e-4112-b023-d1122a2a4b44",73650,2,"2022-01-18"
"00434fd3-75b4-4461-87ed-06b65f26787a","3ca4793d-065e-4112-b023-d1122a2a4b44",141404,2,"2022-10-14"
"0043808a-5148-4872-93f5-4c0f53408ec3","2ea0ca2a-77fc-4447-b57c-62a6cb4d75a1",42882,1,"2022-04-09"
"004c0a74-0c25-492d-8cf5-2cae830491df","098431c3-1301-456e-9171-0026d20a3d62",18808,1,"2022-01-20"
"004c6a78-272e-48da-8e97-153a8ca413dc","ed1a5b13-3dc5-4212-b989-f59258b4410e",135254,2,"2022-09-20"
"005ad28c-f6c8-4266-9597-24e12e1ddcae","098431c3-1301-456e-9171-0026d20a3d62",20853,1,"2022-06-28"
"006d29cc-b85b-492a-8edc-3cc60a3a94eb","098431c3-1301-456e-9171-0026d20a3d62",38514,1,"2022-01-23"
"00733287-2490-4f79-b9fb-a4db6d6774aa","2ea0ca2a-77fc-4447-b57c-62a6cb4d75a1",52291,1,"2022-09-01"
"00747081-287f-4ca9-a831-d02dd9a9e707","3ca4793d-065e-4112-b023-d1122a2a4b44",73075,2,"2022-08-25"
"007833d5-9a46-4eb9-bd63-edb5123a33bb","3ca4793d-065e-4112-b023-d1122a2a4b44",92978,2,"2022-04-29"
"007fb388-0986-4769-878a-44806fff5cb2","c7402157-ae44-45cc-b6a7-b348d5dbd417",66365,2,"2022-01-14"
"0080bdff-3e48-4dc7-b0b6-762acd72f3d2","ed1a5b13-3dc5-4212-b989-f59258b4410e",134022,2,"2022-09-05"
"00834a09-d7ff-424b-a49a-1ddf03a2a5b1","45baf1d2-e066-4f40-8fc5-c61c08d4af4c",85029,1,"2022-11-23"
"0084a040-4bfd-4106-a95a-f816fc1cc249","c7402157-ae44-45cc-b6a7-b348d5dbd417",124538,2,"2022-07-18"
"0092585b-fc29-465a-926f-6258952e04eb","3ca4793d-065e-4112-b023-d1122a2a4b44",61780,2,"2022-11-10"
"0097886b-1c9c-4081-bd20-55dcc0d298be","098431c3-1301-456e-9171-0026d20a3d62",68313,1,"2022-12-10"
"0097daf0-0a53-4ead-8dd8-bf802e0fdf5c","098431c3-1301-456e-9171-0026d20a3d62",18189,1,"2022-06-23"
"009e7889-819c-4d01-9587-d2ee0b1aec0d","3ca4793d-065e-4112-b023-d1122a2a4b44",74789,2,"2022-01-19"
"00a21a40-c19c-44a8-bdec-fef955eb366a","3ca4793d-065e-4112-b023-d1122a2a4b44",113665,2,"2022-06-13"
